-7.19606624, +5.52576989, +2.22991529
-7.17041563, +5.43179202, +2.22991960
-7.22262747, +5.32463041, +2.22993053
-7.36010562, +5.29146945, +2.22993279
-7.46640942, +5.38568719, +2.22994001
-7.47220011, +5.47627935, +2.22994453
-7.41794025, +5.56099345, +2.22994826
-7.28558031, +5.58886802, +2.22992570
-7.19609167, +5.52578957, +2.22991529
-7.17040991, +5.43179202, +2.22991960
-7.22262747, +5.32461035, +2.22993053
-7.36010562, +5.29148411, +2.22993279
-7.46642938, +5.38566750, +2.22992584
-7.47220725, +5.47627935, +2.22993903
-7.41790088, +5.56103096, +2.22995384
-7.28558031, +5.58884754, +2.22992570
-7.19608569, +5.52576989, +2.22991529
-7.17041133, +5.43179202, +2.22991960
-7.22262747, +5.32465480, +2.22993053
-7.36010562, +5.29149728, +2.22993279
-7.46642120, +5.38564781, +2.22992584
-7.47220151, +5.47627935, +2.22994453
-7.41792056, +5.56098494, +2.22994827
-7.28558031, +5.58885614, +2.22992570
-7.19610542, +5.52578957, +2.22991529
-7.17040312, +5.43179202, +2.22991960
-7.22260779, +5.32464246, +2.22993053
-7.36010562, +5.29149453, +2.22993279
-7.46643164, +5.38564781, +2.22994001
-7.47220723, +5.47627935, +2.22993903
-7.41790088, +5.56104908, +2.22995384
-7.28558031, +5.58883705, +2.22992570
